code,value,id,name_y,POINT_X,POINT_Y,2019,2020,2023,2020_change_rate,2023_change_rate,change
330300,9570724.0,89,温州市,120.0285427,27.64614113,0.648978659,0.641406843,0.554610114,-0.007571816,-0.0867967289999999,s-d
330400,4706801.0,90,嘉兴市,120.8034184,30.61654308,0.494843392,0.593709214,0.561104715,0.0988658219999999,-0.0326044989999999,u-s
330500,3034324.0,91,湖州市,119.8687294,30.74435159,0.495163115,0.446614943,0.374713384,-0.048548172,-0.071901559,s-d
330600,5184732.0,92,绍兴市,120.6364829,29.73515578,0.397898929,0.510706761,0.499151604,0.112807832,-0.0115551569999999,u-s
330700,5618838.0,93,金华市,119.9521328,29.11825665,0.609773283,0.646816691,0.597277563,0.037043408,-0.049539128,s-s
330800,2224014.0,94,衢州市,118.6746565,28.93451169,0.438383099,0.203084806,0.436519716,-0.235298293,0.23343491,d-u
330900,1137900.0,95,舟山市,122.1419195,30.05888745,0.532352217,0.306587288,0.614644294,-0.225764929,0.3080570059999999,d-u
331000,6265401.0,96,台州市,121.0066964,28.9017678,0.554220544,0.638373356,0.587725547,0.084152812,-0.0506478089999999,u-d
331100,2223317.0,97,丽水市,119.5117496,28.19934318,0.487634178,0.445887448,0.443582208,-0.0417467299999999,-0.00230524,s-s
340100,7833347.0,98,合肥市,117.3558011,31.76344209,0.49143051,0.573602325,0.494112107,0.0821718149999999,-0.0794902179999999,u-d
340200,3718680.0,99,芜湖市,118.1346457,31.16267385,0.592320093,0.460223415,0.43551053,-0.1320966779999999,-0.024712885,d-s
340300,3313110.0,100,蚌埠市,117.3253875,33.10857421,0.537898028,0.330894217,0.410977138,-0.2070038109999999,0.080082921,d-u
340400,3505361.0,101,淮南市,116.7854057,32.41603156,0.462207069,0.542963793,0.355072781,0.0807567239999999,-0.1878910119999999,u-d
340500,2307982.0,102,马鞍山市,118.365129,31.63700142,0.516201774,0.613818007,0.577839056,0.097616233,-0.035978951,u-s
340600,2180287.0,103,淮北市,116.7394996,33.71951556,0.313147121,0.172654866,0.202455658,-0.1404922549999999,0.029800792,d-s
340700,1635089.0,104,铜陵市,117.5617606,30.88982813,0.514322356,0.419743068,0.310800292,-0.0945792879999999,-0.108942776,d-d
340800,4688301.0,105,安庆市,116.4871753,30.57611986,0.429035613,0.242507495,0.323010603,-0.186528118,0.080503108,d-u
341000,1425166.0,106,黄山市,118.0710578,29.90664071,0.361464605,0.146290976,0.453888829,-0.215173629,0.307597853,d-u
341100,4125192.0,107,滁州市,118.1025513,32.54415582,0.506225534,0.630170165,0.496766973,0.1239446309999999,-0.133403192,u-d
341200,7984731.0,108,阜阳市,115.7038008,32.91733856,0.559698027,0.474155973,0.309420102,-0.085542054,-0.164735871,d-d
341300,5627463.0,109,宿州市,117.2108217,33.85867649,0.423389991,0.573004725,0.394069695,0.1496147339999999,-0.17893503,u-d
341500,4827568.0,110,六安市,116.2297296,31.66000371,0.33106763,0.385091546,0.289615091,0.054023916,-0.095476455,u-d
341600,5079814.0,111,亳州市,116.1806688,33.43545858,0.434228647,0.369194549,0.400530616,-0.065034098,0.031336067,d-s
341700,1471591.0,112,池州市,117.3653206,30.28442927,0.526739857,0.160198643,0.38640665,-0.366541214,0.226208007,d-u
341800,2659241.0,113,宣城市,118.8522389,30.68624062,0.554087638,0.620145597,0.548149492,0.066057959,-0.071996105,u-d
350100,7462230.0,114,福州市,119.1585724,26.06381734,0.580203326,0.666806768,0.512741678,0.086603442,-0.15406509,u-d
350200,3693342.0,115,厦门市,118.1160573,24.73842337,0.534224475,0.589118051,0.485916433,0.054893576,-0.103201618,u-d
350300,2915360.0,116,莆田市,118.8802157,25.45571066,0.632620134,0.617376422,0.607781123,-0.0152437119999999,-0.009595299,s-s
350400,2626461.0,117,三明市,117.3959207,26.29867899,0.601099781,0.486803563,0.485504389,-0.114296218,-0.001299174,d-s
350500,8657793.0,118,泉州市,118.2556892,25.21015634,0.524337055,0.58120481,0.591185249,0.0568677549999999,0.009980439,u-s
