id,name,city_id_Amap,POINT_X,POINT_Y
331,吴忠市,640300,106.5275621,37.46166133
332,固原市,640400,106.1818049,35.91724352
333,中卫市,640500,105.5009565,37.01372234
334,乌鲁木齐市,650100,87.78649488,43.75350361
335,克拉玛依市,650200,84.93813283,45.24481983
336,吐鲁番市,650400,89.81562963,42.39130325
337,哈密市,650500,93.51472769,43.03894438
338,昌吉回族自治州,652300,89.78831593,44.34420826
339,博尔塔拉蒙古自治州,652700,81.84105121,44.82060073
340,巴音郭楞蒙古自治州,652800,87.46372951,39.49386986
341,阿克苏地区,652900,82.56959439,41.01771284
342,喀什地区,653100,77.22184746,38.15650398
343,和田地区,653200,79.29564633,35.79381809
344,伊犁哈萨克自治州,654000,82.07592935,43.4325526
345,塔城地区,654200,84.79845433,43.89388089
346,阿勒泰地区,654300,88.30017915,46.07144331
347,石河子市,659001,86.03566951,44.30551931
348,阿拉尔市,659002,81.3100738,40.59826928
348,阿拉尔市,659002,81.3100738,40.59826928
349,五家渠市,659004,87.55472587,44.36169452
350,中朝共有,156400,125.0906996,40.55766979
351,神农架林区,429021,110.4747428,31.59036868
352,三沙市,460300,113.8588611,19.19774678
353,日喀则市,540200,86.48437562,29.48981775
354,昌都市,540300,97.73475716,30.88499323
355,山南市,540500,93.28342698,27.83564052
356,那曲市,540600,89.26405538,32.73971614
357,阿里地区,542500,82.55783456,33.02939231
358,黄南藏族自治州,632300,101.5690612,34.84997192
359,果洛藏族自治州,632600,99.41993734,34.11574328
360,玉树藏族自治州,632700,94.32138778,34.21085634
361,克孜勒苏柯尔克孜自治州,653000,76.18803712,38.20953749
362,图木舒克市,659003,79.1306425,39.88103847
363,北屯市,659005,87.98370598,47.24177752
364,铁门关市,659006,85.57631395,41.81959563
365,双河市,659007,82.45274929,44.82679876
366,可克达拉市,659008,80.58953383,43.93203994
367,昆玉市,659009,79.29459821,37.27342701
368,胡杨河市,659010,84.78887795,44.74032499
369,台湾省,710000,120.9722716,23.75042632
370,香港特别行政区,810000,114.0275762,22.4175568
371,澳门特别行政区,820000,113.5669816,22.14164711
