city,2019,2020,2023,2020_change_rate,2023_change_rate,change,name
210,0.386137455,0.213883741,0.299053318,-44.60942904,39.8205009,d-u,汕尾市
337,0.385767232,0.022182954,0.172245581,-94.24965312,676.4772041,d-u,哈密市
34,0.384354626,0.294401111,0.290332788,-23.40378102,-1.381897978,d-s,兴安盟
221,0.381890759,0.475609344,0.471308422,24.54067892,-0.904297204,u-s,桂林市
355,0.380890934,0.819165249,0.832212693,115.0655676,1.592773133,u-s,山南市
304,0.380636524,0.503300673,0.509459093,32.22605853,1.22360655,u-s,渭南市
60,0.378933429,0.154186514,0.490048572,-59.31039539,217.8284269,d-u,哈尔滨市
339,0.378511901,0.102540446,0.069456613,-72.90958468,-32.26417896,d-d,博尔塔拉蒙古自治州
41,0.377127077,0.043224017,0.420400905,-88.53860684,872.6095217,d-u,本溪市
234,0.376945573,0.21119387,0.178467085,-43.97231719,-15.49608661,d-d,三亚市
175,0.374738565,0.272727876,0.291113724,-27.22182837,6.741462688,d-u,孝感市
169,0.374578058,0.280421562,0.4097771,-25.13668219,46.12895566,d-u,黄石市
207,0.374388025,0.23012542,0.263317077,-38.53291114,14.42329013,d-u,肇庆市
201,0.37332353,0.451230664,0.47678474,20.86853031,5.663195797,u-u,珠海市
151,0.373117125,0.356466463,0.248323434,-4.462583163,-30.33750443,s-d,开封市
230,0.372186934,0.500291192,0.50827648,34.41933241,1.596128041,u-s,河池市
24,0.371670304,0.456367982,0.340612583,22.7883899,-25.36448734,u-d,吕梁市
267,0.367753148,0.141318547,0.186666701,-61.57244397,32.08931521,d-u,雅安市
209,0.366099059,0.129999972,0.232190945,-64.49049272,78.6084577,d-u,梅州市
295,0.365876287,0.058410011,0.100759779,-84.03558441,72.50429725,d-u,德宏傣族景颇族自治州
345,0.365235562,0.017000825,0.146882616,-95.34524379,763.9734601,d-u,塔城地区
297,0.362647412,0.036395613,0.394878499,-89.96391211,984.961803,d-u,迪庆藏族自治州
106,0.361464605,0.146290976,0.453888829,-59.52827082,210.2644069,d-u,黄山市
31,0.356410535,0.057026457,0.471742805,-83.99978356,727.2349885,d-u,呼伦贝尔市
40,0.356069831,0.40862317,0.356397233,14.75927878,-12.78095341,u-d,抚顺市
9,0.354295279,0.319911212,0.414977589,-9.704918196,29.71648802,d-u,张家口市
315,0.353166664,0.275850993,0.42909747,-21.89212032,55.55407843,d-u,武威市
14,0.352774624,0.497271629,0.405012906,40.96014712,-18.55298344,u-d,太原市
52,0.347657512,0.451613621,0.38116539,29.90187337,-15.59922636,u-d,吉林市
124,0.340783805,0.121185491,0.2527276,-64.43918718,108.5460874,d-u,景德镇市
56,0.340225264,0.424209225,0.270417357,24.6848103,-36.25377737,u-d,白山市
48,0.339242776,0.587533666,0.429268034,73.18973537,-26.93728737,u-d,铁岭市
213,0.336881225,0.158721441,0.398165931,-52.88504398,150.8583141,d-u,清远市
228,0.336443364,0.286465271,0.518582224,-14.85483096,81.02795574,d-u,百色市
336,0.331504815,0.020341003,0.552964432,-93.86403995,2618.471808,d-u,吐鲁番市
110,0.33106763,0.385091546,0.289615091,16.31809066,-24.79318385,u-d,六安市
211,0.330205371,0.295490477,0.348357655,-10.51312215,17.89133056,d-u,河源市
283,0.329409424,0.4366133,0.218972862,32.54426504,-49.84741372,u-d,曲靖市
243,0.329131997,0.639764261,0.222430146,94.37923594,-65.23248334,u-d,澄迈县
313,0.324352866,0.46860451,0.307367066,44.47367639,-34.4080009,u-d,白银市
239,0.324033983,0.193061116,0.392807679,-40.41948495,103.4628656,d-u,万宁市
224,0.31750687,0.475096914,0.460156071,49.63358557,-3.144799,u-s,防城港市
103,0.313147121,0.172654866,0.202455658,-44.86461653,17.26032558,d-u,淮北市
286,0.313021154,0.532061055,0.189319595,69.97606973,-64.41769357,u-d,昭通市
347,0.309428825,0.149795229,0.330412628,-51.58976252,120.5762027,d-u,石河子市
237,0.308690612,0.330844406,0.242275672,7.176698331,-26.77050976,u-d,琼海市
61,0.306839065,0.013199514,0.425024692,-95.69822897,3120.002585,d-u,齐齐哈尔市
62,0.300573171,0.099817657,0.260400574,-66.79089598,160.8762636,d-u,鸡西市
65,0.299489398,0.07990021,0.457012972,-73.32118915,471.9796882,d-u,大庆市
71,0.297864647,0.032636241,0.38638649,-89.04326467,1083.918485,d-u,绥化市
290,0.294928679,0.113087548,0.20027984,-61.65596768,77.10158505,d-u,楚雄彝族自治州
57,0.293632426,0.375923588,0.415255388,28.02522975,10.46271137,u-u,松原市
285,0.290937362,0.065202177,0.029703952,-77.58892961,-54.44331253,d-d,保山市
231,0.289711881,0.571668685,0.244306356,97.32317606,-57.26434517,u-d,来宾市
329,0.288735926,0.553768764,0.361471482,91.79073823,-34.72519479,u-d,银川市
